42.6700295738427,-84.6456672063389,2.06,54.835,34.231,190.364,2003-01-08T15:32:08
42.6700295738427,-84.6456852330848,2.05,57.530,-1.000,192.016,2003-01-08T15:32:08
42.6700229465866,-84.6457032598308,2.04,59.003,-1.000,193.030,2003-01-08T15:32:09
42.6700229465866,-84.6457212865767,2.05,58.490,44.180,190.696,2003-01-08T15:32:10
42.6700163193297,-84.6457393133227,2.02,57.664,44.379,188.430,2003-01-08T15:32:13
42.6700096920722,-84.6457483266957,2.02,57.620,44.878,187.912,2003-01-08T15:32:16
42.6700163193297,-84.6457393133227,2.02,58.085,44.972,189.411,2003-01-08T15:32:18
42.6700096920722,-84.6457302999497,1.98,57.935,44.675,189.847,2003-01-08T15:32:22
42.6700163193297,-84.6457212865767,1.96,59.033,44.033,190.043,2003-01-08T15:32:26
42.6700295738427,-84.6457122732037,1.86,61.671,43.996,189.650,2003-01-08T15:32:31
42.6700362010981,-84.6457032598308,1.90,61.273,44.349,187.858,2003-01-08T15:32:34
42.6700428283529,-84.6456942464578,1.91,58.480,45.416,188.875,2003-01-08T15:32:43
42.6700560828602,-84.6456942464578,1.91,59.192,45.782,188.756,2003-01-08T15:32:45
42.6700627101128,-84.6456852330848,1.89,62.728,44.862,188.288,2003-01-08T15:32:47
42.6700693373647,-84.6456762197118,1.90,63.735,45.394,188.397,2003-01-08T15:32:51
42.6700759646159,-84.6456672063389,1.91,63.236,47.136,187.375,2003-01-08T15:32:55
42.6700825918664,-84.6456581929659,1.91,63.181,48.193,187.411,2003-01-08T15:33:02
42.6700892191162,-84.6456491795929,1.89,63.416,47.923,188.155,2003-01-08T15:33:08
42.6700958463652,-84.6456401662199,1.88,61.994,46.130,187.879,2003-01-08T15:33:16
42.6701024736136,-84.645631152847,1.88,60.192,45.519,187.714,2003-01-08T15:33:21
42.6701157281082,-84.645622139474,1.89,59.810,46.047,188.345,2003-01-08T15:33:26
42.6701223553545,-84.645613126101,1.86,59.100,44.311,188.911,2003-01-08T15:33:30
42.6701289826,-84.6456041127281,1.88,63.092,47.771,190.211,2003-01-08T15:33:40
42.6701356098449,-84.6455950993551,1.83,66.938,51.827,190.617,2003-01-08T15:33:44
42.670142237089,-84.6455860859821,1.85,67.048,49.291,190.742,2003-01-08T15:33:52
42.6701488643324,-84.6455770726091,1.78,68.045,48.475,191.534,2003-01-08T15:34:02
42.6701488643324,-84.6455590458632,1.76,68.065,48.969,191.329,2003-01-08T15:34:11
42.6701621188172,-84.6455590458632,1.80,67.010,49.014,191.086,2003-01-08T15:34:22
42.6701621188172,-84.6455410191172,1.78,66.336,45.893,193.168,2003-01-08T15:34:29
42.6701554915752,-84.6455229923713,1.86,64.546,41.581,196.061,2003-01-08T15:34:38
42.670142237089,-84.6455139789983,1.94,66.961,42.653,198.002,2003-01-08T15:34:41
42.6701356098449,-84.6455049656253,2.00,66.541,40.439,198.069,2003-01-08T15:34:44
42.6701289826,-84.6454959522524,2.08,60.124,36.574,196.294,2003-01-08T15:34:46
42.6701223553545,-84.6454869388794,2.08,58.884,43.360,196.109,2003-01-08T15:34:47
42.6701157281082,-84.6454779255064,1.92,56.010,37.701,193.850,2003-01-08T15:34:49
42.6701024736136,-84.6454689121334,1.59,48.799,29.566,187.239,2003-01-08T15:34:51
42.6700892191162,-84.6454598987605,1.51,43.855,25.730,185.934,2003-01-08T15:34:53
42.6700759646159,-84.6454598987605,1.46,44.026,25.409,188.077,2003-01-08T15:34:55
42.6700627101128,-84.6454598987605,1.35,45.246,25.507,189.048,2003-01-08T15:34:58
42.6700560828602,-84.6454508853875,1.32,47.852,25.663,189.483,2003-01-08T15:34:59
42.6700428283529,-84.6454508853875,1.28,49.064,26.761,187.722,2003-01-08T15:35:01
42.6700362010981,-84.6454418720145,1.27,48.646,-1.000,187.904,2003-01-08T15:35:02
42.6700229465866,-84.6454418720145,1.20,50.722,27.460,189.489,2003-01-08T15:35:04
42.6700163193297,-84.6454328586415,1.16,50.429,28.814,189.715,2003-01-08T15:35:06
42.6700030648139,-84.6454328586415,1.04,48.430,31.670,190.360,2003-01-08T15:35:08
42.6699964375549,-84.6454238452686,0.96,46.212,29.997,192.734,2003-01-08T15:35:09
42.6699831830349,-84.6454148318956,0.85,45.693,26.376,195.058,2003-01-08T15:35:12
42.669969928512,-84.6454058185226,0.80,48.091,29.028,195.740,2003-01-08T15:35:13
42.6699633012495,-84.6453968051496,0.73,48.029,28.878,197.049,2003-01-08T15:35:15
42.6699500467223,-84.6453877917767,0.66,45.039,25.156,199.449,2003-01-08T15:35:17
42.6699434194577,-84.6453787784037,0.61,38.769,22.267,198.906,2003-01-08T15:35:19
42.6699367921924,-84.6453697650307,0.55,27.784,12.928,198.576,2003-01-08T15:35:20
42.6699367921924,-84.6453517382848,0.52,15.624,3.315,203.099,2003-01-08T15:35:22
42.6699301649264,-84.6453427249118,0.44,6.198,0.556,202.838,2003-01-08T15:35:23
42.6699301649264,-84.6453246981659,0.51,3.556,0.249,201.056,2003-01-08T15:35:25
42.6699235376596,-84.6453156847929,0.55,8.643,1.680,201.198,2003-01-08T15:35:26
42.6699235376596,-84.6452976580469,0.66,16.839,3.898,199.328,2003-01-08T15:35:30
42.6699301649264,-84.645288644674,0.81,29.908,10.101,198.460,2003-01-08T15:35:32
42.6699367921924,-84.645279631301,0.97,52.932,23.767,198.063,2003-01-08T15:35:37
42.6699367921924,-84.645261604555,0.94,67.503,32.668,198.723,2003-01-08T15:35:40
42.6699434194577,-84.6452525911821,0.94,63.698,32.029,196.697,2003-01-08T15:35:42
