,Latitude,Longitude,Depth_m
0,42.9318091366417,-74.2785216647994,-2.44
1,42.9318223351904,-74.2784765979345,-0.39
2,42.9318223351904,-74.2784675845616,-0.42
3,42.9318289344636,-74.2784675845616,-0.52
4,42.9318289344636,-74.2784585711886,-0.56
5,42.9318355337362,-74.2784405444426,-0.63
6,42.9318355337362,-74.2784315310697,-0.7
7,42.9318355337362,-74.2784225176967,-0.77
8,42.931842133008,-74.2784135043237,-0.83
9,42.931842133008,-74.2784044909507,-0.88
10,42.9318487322792,-74.2783954775778,-0.91
11,42.9318487322792,-74.2783864642048,-0.93
12,42.9318487322792,-74.2783774508318,-0.92
13,42.9318553315496,-74.2783684374588,-0.97
14,42.9318553315496,-74.2783594240859,-1.06
15,42.9318619308193,-74.2783504107129,-1.12
16,42.9318685300883,-74.2783413973399,-1.23
17,42.9318685300883,-74.2783323839669,-1.28
18,42.9318751293567,-74.2783323839669,-1.28
19,42.9318751293567,-74.278323370594,-1.29
20,42.9318817286242,-74.278314357221,-1.35
21,42.9318883278911,-74.278305343848,-1.41
22,42.9318883278911,-74.278296330475,-1.42
23,42.9318949271573,-74.278296330475,-1.43
24,42.9319015264228,-74.2782873171021,-1.42
25,42.9319081256876,-74.2782783037291,-1.33
26,42.9319147249517,-74.2782783037291,-1.33
27,42.931921324215,-74.2782692903561,-1.36
28,42.9319279234777,-74.2782602769831,-1.39
29,42.9319345227396,-74.2782602769831,-1.35
30,42.9319411220009,-74.2782512636102,-1.36
31,42.9319543205212,-74.2782512636102,-1.33
32,42.9319609197803,-74.2782422502372,-1.32
33,42.9319675190387,-74.2782422502372,-1.29
34,42.9319741182964,-74.2782332368642,-1.32
35,42.9319807175534,-74.2782332368642,-1.36
36,42.9319873168097,-74.2782242234913,-1.37
37,42.9319939160653,-74.2782242234913,-1.39
38,42.9320005153202,-74.2782242234913,-1.42
39,42.9320137138278,-74.2782242234913,-1.47
40,42.9320203130805,-74.2782152101183,-1.62
41,42.9320269123326,-74.2782152101183,-1.59
42,42.932033511584,-74.2782152101183,-1.6
43,42.9320467100845,-74.2782152101183,-1.61
44,42.9320533093337,-74.2782152101183,-1.54
45,42.9320599085822,-74.2782152101183,-1.59
46,42.93206650783,-74.2782152101183,-1.61
47,42.9320797063235,-74.2782152101183,-1.51
48,42.9320863055692,-74.2782152101183,-1.55
49,42.9320929048142,-74.2782152101183,-1.74
50,42.9320995040584,-74.2782152101183,-1.79
51,42.9321127025448,-74.2782152101183,-1.86
52,42.932119301787,-74.2782152101183,-1.82
53,42.9321259010285,-74.2782152101183,-1.73
54,42.9321325002692,-74.2782152101183,-1.68
55,42.9321456987485,-74.2782242234913,-1.79
56,42.9321522979871,-74.2782242234913,-1.85
57,42.932158897225,-74.2782242234913,-1.91
58,42.9321654964622,-74.2782242234913,-1.85
59,42.9321786949345,-74.2782242234913,-1.93
60,42.9321852941696,-74.2782332368642,-1.86
61,42.932191893404,-74.2782332368642,-1.82
62,42.9321984926376,-74.2782332368642,-1.72
63,42.9322050918706,-74.2782422502372,-1.7
64,42.9322116911028,-74.2782422502372,-1.75
65,42.9322182903344,-74.2782512636102,-1.73
66,42.9322314887953,-74.2782512636102,-1.67
67,42.9322380880247,-74.2782512636102,-1.71
68,42.9322446872534,-74.2782602769831,-1.8
69,42.9322512864814,-74.2782602769831,-1.83
70,42.9322578857088,-74.2782692903561,-2.03
71,42.9322710841612,-74.2782783037291,-2.15
72,42.9322776833864,-74.2782783037291,-2.24
73,42.9322842826109,-74.2782873171021,-2.26
74,42.9322908818346,-74.2782873171021,-2.12
75,42.9322974810577,-74.278296330475,-2.28
76,42.93230408028,-74.278296330475,-2.28
77,42.9323172787226,-74.278296330475,-2.33
78,42.9323238779428,-74.278305343848,-2.41
79,42.9323304771623,-74.278305343848,-2.43
80,42.9323370763812,-74.278305343848,-2.5
81,42.9323502748166,-74.278305343848,-2.44
82,42.9323568740333,-74.278305343848,-2.37
83,42.9323634732493,-74.278314357221,-2.37
84,42.9323700724646,-74.278314357221,-2.44
85,42.932383270893,-74.278314357221,-2.39
86,42.9323898701062,-74.278314357221,-2.34
87,42.9323964693186,-74.278314357221,-2.44
88,42.9324030685304,-74.278314357221,-2.46
89,42.9324096677414,-74.278323370594,-2.4
90,42.9324162669517,-74.278323370594,-2.27
91,42.9324294653703,-74.278323370594,-2.18
92,42.9324360645785,-74.2783323839669,-2.12
93,42.932442663786,-74.2783413973399,-2.05
94,42.9324492629928,-74.2783504107129,-1.95
95,42.9324492629928,-74.2783684374588,-1.7
96,42.9324492629928,-74.2783774508318,-1.58
97,42.932442663786,-74.2783954775778,-1.47
98,42.932442663786,-74.2784044909507,-1.44
99,42.932442663786,-74.2784135043237,-1.4
100,42.9324360645785,-74.2784225176967,-1.3
101,42.9324360645785,-74.2784315310697,-1.24
102,42.9324360645785,-74.2784405444426,-1.16
103,42.9324294653703,-74.2784495578156,-1.07
104,42.9324294653703,-74.2784585711886,-1.05
105,42.9324228661614,-74.2784675845616,-1.07
106,42.9324162669517,-74.2784765979345,-1.05
107,42.9324162669517,-74.2784856113075,-1.03
108,42.9324096677414,-74.2784856113075,-1.0
109,42.9324096677414,-74.2784946246805,-0.98
110,42.9324030685304,-74.2785036380535,-0.97
111,42.9323964693186,-74.2785126514264,-0.9
112,42.9323964693186,-74.2785216647994,-0.85
113,42.9323898701062,-74.2785306781724,-0.78
114,42.932383270893,-74.2785396915454,-0.73
115,42.9323766716792,-74.2785396915454,-0.67
116,42.9323766716792,-74.2785487049183,-0.67
117,42.9323700724646,-74.2785577182913,-0.65
118,42.9323634732493,-74.2785667316643,-0.63
119,42.9323568740333,-74.2785667316643,-0.63
120,42.9323502748166,-74.2785757450372,-0.64
121,42.9323436755993,-74.2785847584102,-0.6
122,42.9323436755993,-74.2785937717832,-0.59
123,42.9323370763812,-74.2785937717832,-0.57
124,42.9323304771623,-74.2786027851562,-0.57
125,42.9323238779428,-74.2786117985291,-0.58
126,42.9323172787226,-74.2786117985291,-0.56
127,42.9323106795017,-74.2786208119021,-0.54
128,42.93230408028,-74.2786208119021,-0.48
129,42.9322974810577,-74.2786298252751,-0.47
130,42.9322908818346,-74.2786388386481,-0.46
131,42.9322842826109,-74.2786388386481,-0.45
132,42.9322776833864,-74.278647852021,-0.44
133,42.9322710841612,-74.278647852021,-0.44
134,42.9322644849353,-74.278656865394,-0.41
135,42.9322578857088,-74.278656865394,-0.42
136,42.9322512864814,-74.278656865394,-0.4
137,42.9322446872534,-74.278665878767,-0.38
138,42.9322380880247,-74.278665878767,-0.36
139,42.9322314887953,-74.27867489214,-0.34
140,42.9322182903344,-74.2786839055129,-0.32
141,42.9322116911028,-74.2786839055129,-0.33
142,42.9322050918706,-74.2786839055129,-0.32
143,42.932191893404,-74.2786839055129,-0.33
144,42.9321852941696,-74.27867489214,-0.34
145,42.9321786949345,-74.27867489214,-0.33
146,42.9321720956987,-74.27867489214,-0.31
147,42.9321654964622,-74.278665878767,-0.31
148,42.932158897225,-74.278665878767,-0.33
149,42.9321522979871,-74.278665878767,-0.34
150,42.9321456987485,-74.278665878767,-0.34
151,42.9321390995092,-74.278656865394,-0.33
152,42.9321325002692,-74.278647852021,-0.34
153,42.9321259010285,-74.2786388386481,-0.35
154,42.932119301787,-74.2786388386481,-0.34
155,42.9321127025448,-74.2786298252751,-0.35
156,42.9319477212614,-74.2783774508318,-0.41
157,42.9319411220009,-74.2783774508318,-0.42
158,42.9319411220009,-74.2783684374588,-0.43
159,42.9319675190387,-74.2783594240859,-0.44
160,42.9319873168097,-74.2783594240859,-0.48
161,42.9320005153202,-74.2783594240859,-0.5
162,42.9320071145743,-74.2783594240859,-0.51
163,42.9320203130805,-74.2783594240859,-0.51
164,42.9320137138278,-74.2783504107129,-0.5
165,42.9320137138278,-74.2783413973399,-0.49
166,42.9319543205212,-74.2783774508318,-0.48
167,42.9318949271573,-74.2784044909507,-0.47
168,42.9318487322792,-74.2784315310697,-0.47
169,42.9318025373663,-74.2784495578156,-0.49
170,42.9317629416992,-74.2784765979345,-0.51
171,42.9317035481508,-74.2784856113075,-0.5
172,42.9316573531291,-74.2784946246805,-0.5
173,42.9316045587761,-74.2785126514264,-0.51
174,42.9315583636801,-74.2785216647994,-0.53
175,42.9315055692423,-74.2785216647994,-0.53
176,42.9314659733843,-74.2785216647994,-0.55
177,42.9314197781844,-74.2785126514264,-0.57
178,42.9313735829498,-74.2784856113075,-0.57
179,42.9313339870069,-74.2784675845616,-0.62
180,42.9313075896975,-74.2784495578156,-0.62
181,42.9312745930448,-74.2784405444426,-0.64
182,42.9312547950447,-74.2784315310697,-0.66
183,42.9312283977014,-74.2784135043237,-0.66
184,42.9312085996864,-74.2783864642048,-0.67
185,42.9311888016651,-74.2783594240859,-0.72
186,42.9311624042935,-74.2783323839669,-0.74
187,42.9311426062573,-74.278305343848,-0.76
188,42.931129407563,-74.2782783037291,-0.78
189,42.9311096095162,-74.2782602769831,-0.76
190,42.9310898114631,-74.2782512636102,-0.77
191,42.9310766127575,-74.2782422502372,-0.78
192,42.9310634140491,-74.2782332368642,-0.77
193,42.9310502153378,-74.2782242234913,-0.78
194,42.9310436159811,-74.2782061967453,-0.74
195,42.9310436159811,-74.2781971833723,-0.74
196,42.9310370166237,-74.2781791566264,-0.72
197,42.9310370166237,-74.2781701432534,-0.79
198,42.9310370166237,-74.2781521165074,-0.78
199,42.9310370166237,-74.2781431031345,-0.78
200,42.9310436159811,-74.2781340897615,-0.76
201,42.9310436159811,-74.2781250763885,-0.75
202,42.9310436159811,-74.2781160630156,-0.74
203,42.9310370166237,-74.2781160630156,-0.71
204,42.9310370166237,-74.2781070496426,-0.7
205,42.9310370166237,-74.2781160630156,-0.68
206,42.9310436159811,-74.2781160630156,-0.61
207,42.9310502153378,-74.2781340897615,-0.56
208,42.9310634140491,-74.2781431031345,-0.57
209,42.9310700134036,-74.2781611298804,-0.56
210,42.9310766127575,-74.2781701432534,-0.54
211,42.9310832121107,-74.2781701432534,-0.57
212,42.9310832121107,-74.2781791566264,-0.51
213,42.9310832121107,-74.2781881699994,-0.51
214,42.9310832121107,-74.2781971833723,-0.51
215,42.9310898114631,-74.2782061967453,-0.49
216,42.9310898114631,-74.2782152101183,-0.52
217,42.9310832121107,-74.2782242234913,-0.51
218,42.9310766127575,-74.2782242234913,-0.53
219,42.9310766127575,-74.2782332368642,-0.52
220,42.9310700134036,-74.2782332368642,-0.53
221,42.9310634140491,-74.2782332368642,-0.52
222,42.9310568146938,-74.2782422502372,-0.45
223,42.9310502153378,-74.2782422502372,-0.44
224,42.9310436159811,-74.2782422502372,-0.45
225,42.9310370166237,-74.2782332368642,-0.46
226,42.9310304172656,-74.2782332368642,-0.49
227,42.9310238179067,-74.2782422502372,-0.5
228,42.9310172185472,-74.2782422502372,-0.51
229,42.931010619187,-74.2782332368642,-0.48
230,42.931004019826,-74.2782422502372,-0.44
231,42.9309974204644,-74.2782422502372,-0.41
232,42.930990821102,-74.2782422502372,-0.38
233,42.930984221739,-74.2782422502372,-0.37
234,42.9309776223752,-74.2782422502372,-0.37
235,42.9309710230107,-74.2782422502372,-0.38
236,42.9309644236455,-74.2782422502372,-0.37
237,42.9309578242796,-74.2782422502372,-0.35
238,42.930951224913,-74.2782512636102,-0.33
239,42.9309446255457,-74.2782512636102,-0.35
240,42.9309182280695,-74.2782242234913,-0.42
241,42.9309248274396,-74.2782152101183,-0.44
242,42.9309380261777,-74.2782061967453,-0.52
243,42.9309446255457,-74.2782061967453,-0.56
244,42.9309578242796,-74.2781971833723,-0.59
245,42.9309644236455,-74.2781971833723,-0.56
246,42.9309710230107,-74.2781971833723,-0.54
247,42.9309776223752,-74.2781971833723,-0.57
248,42.930984221739,-74.2781971833723,-0.58
249,42.930990821102,-74.2782061967453,-0.61
250,42.9309974204644,-74.2782061967453,-0.59
251,42.931004019826,-74.2782061967453,-0.58
252,42.931010619187,-74.2782061967453,-0.6
253,42.9310172185472,-74.2782061967453,-0.68
254,42.9310238179067,-74.2782061967453,-0.69
255,42.9310304172656,-74.2782061967453,-0.71
256,42.9310370166237,-74.2782061967453,-0.7
257,42.9310436159811,-74.2782061967453,-0.71
258,42.9310502153378,-74.2782061967453,-0.68
259,42.9310568146938,-74.2782061967453,-0.64
260,42.9310634140491,-74.2782061967453,-0.74
261,42.9310700134036,-74.2782061967453,-0.83
262,42.9310766127575,-74.2782061967453,-0.88
263,42.9310832121107,-74.2782061967453,-0.87
264,42.9310898114631,-74.2782061967453,-0.9
265,42.9310964108149,-74.2782152101183,-0.92
266,42.9310964108149,-74.2782061967453,-0.92
267,42.9311030101659,-74.2782061967453,-0.91
268,42.9311096095162,-74.2782061967453,-0.91
269,42.9311162088659,-74.2782061967453,-0.94
270,42.9311228082148,-74.2782061967453,-0.97
271,42.931129407563,-74.2781971833723,-0.92
272,42.9311360069105,-74.2781971833723,-0.93
273,42.9311426062573,-74.2781971833723,-0.97
274,42.9311492056034,-74.2781971833723,-1.04
275,42.9311558049488,-74.2781971833723,-1.0
276,42.9311624042935,-74.2781971833723,-1.04
277,42.9311690036375,-74.2781971833723,-1.03
