,Latitude,Longitude,Depth_m,x,y,z,Time
61,42.66963856,-84.64566721,-1.59,48.943,27.66,184.764,2003-01-08T13:53:28
62,42.66962531,-84.64566721,-1.55,52.722,30.829,187.025,2003-01-08T13:53:30
63,42.66961206,-84.64567622,-1.51,53.997,32.949,186.667,2003-01-08T13:53:33
64,42.6695988,-84.64568523,-1.51,53.939,33.611,185.031,2003-01-08T13:53:35
65,42.66958555,-84.64568523,-1.51,54.64,32.888,186.665,2003-01-08T13:53:37
66,42.66957229,-84.64569425,-1.49,54.774,33.487,188.311,2003-01-08T13:53:39
67,42.66955904,-84.64569425,-1.46,55.256,33.301,187.675,2003-01-08T13:53:42
68,42.66954578,-84.64570326,-1.46,53.467,30.103,187.236,2003-01-08T13:53:44
69,42.66953253,-84.64570326,-1.47,53.643,30.722,188.926,2003-01-08T13:53:46
70,42.66951927,-84.64570326,-1.47,56.749,35.626,189.058,2003-01-08T13:53:48
71,42.66950602,-84.64570326,-1.48,58.735,38.975,190.55,2003-01-08T13:53:51
72,42.66949276,-84.64570326,-1.45,59.097,38.735,193.034,2003-01-08T13:53:53
73,42.66947951,-84.64570326,-1.41,59.821,37.869,192.423,2003-01-08T13:53:55
74,42.66946625,-84.64570326,-1.41,60.984,39.409,191.408,2003-01-08T13:53:57
75,42.66945963,-84.64569425,-1.42,61.336,41.284,192.13,2003-01-08T13:53:58
76,42.66944637,-84.64568523,-1.38,61.401,37.546,191.742,2003-01-08T13:54:00
77,42.66943975,-84.64566721,-1.39,59.58,33.493,188.409,2003-01-08T13:54:02
78,42.66943975,-84.64564918,-1.4,56.079,32.623,186.736,2003-01-08T13:54:03
79,42.66944637,-84.64563115,-1.38,52.995,30.119,187.062,2003-01-08T13:54:05
80,42.669453,-84.64562214,-1.37,50.397,28.137,183.785,2003-01-08T13:54:06
81,42.66945963,-84.64561313,-1.36,51.575,27.75,183.299,2003-01-08T13:54:07
82,42.66947288,-84.64561313,-1.36,50.974,25.056,184.804,2003-01-08T13:54:08
83,42.66947951,-84.64562214,-1.39,51.162,25.743,184.823,2003-01-08T13:54:09
84,42.66949276,-84.64563115,-1.43,54.119,28.527,186.403,2003-01-08T13:54:11
85,42.66950602,-84.64564017,-1.42,52.418,28.371,185.986,2003-01-08T13:54:13
86,42.66951265,-84.64564918,-1.41,53.547,28.207,185.377,2003-01-08T13:54:14
